순위,노래제목,가수명
1,Ditto,NewJeans
2,사건의 지평선,윤하 (YOUNHA)
3,Candy,NCT DREAM
4,Hype boy,NewJeans
5,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
6,ANTIFRAGILE,LE SSERAFIM (르세라핌)
7,사랑은 늘 도망가,임영웅
8,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), R.Tee, 던말릭 (DON MALIK), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), 로스 (Los)"
9,After LIKE,IVE (아이브)
10,우리들의 블루스,임영웅
11,Attention,NewJeans
12,Nxde,(여자)아이들
13,다시 만날 수 있을까,임영웅
14,Snowman,Sia
15,London Boy,임영웅
16,All I Want for Christmas Is You,Mariah Carey
17,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
18,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
19,Polaroid,임영웅
20,무지개,임영웅
21,이제 나만 믿어요,임영웅
22,Graduation,NCT DREAM
23,아버지,임영웅
24,LOVE DIVE,IVE (아이브)
25,A bientot,임영웅
26,손이 참 곱던 그대,임영웅
27,Monologue,테이
28,인생찬가,임영웅
29,사랑해 진짜,임영웅
30,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (DON MALIK)
31,연애편지,임영웅
32,Santa Tell Me,Ariana Grande
33,Tangerine Love (Favorite),NCT DREAM
34,문 (Moon),NCT DREAM
35,발자국 (Walk With You),NCT DREAM
36,입김 (Take My Breath),NCT DREAM
37,보금자리,임영웅
38,Rush Hour (Feat. j-hope of BTS),Crush
39,Shut Down,BLACKPINK
40,잘가요,주호
41,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),아이유
42,Last Christmas,Ariana Grande
43,해요 (2022),#안녕
44,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, VIXX (빅스)"
45,Pink Venom,BLACKPINK
46,WHEN I MOVE,카라
47,너의 모든 순간,성시경
48,첫 눈,EXO
49,그 겨울이 잠든 거리에서,"경서예지, 전건호"
50,그대를 알고,송하예
51,자격지심 (Feat. ZICO),BE'O (비오)
52,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN
53,Cookie,NewJeans
54,사랑인가 봐,멜로망스
55,오르골 (Life Is Still Going On),NCT DREAM
56,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang"
57,딱 10CM만,"10CM, BIG Naughty (서동현)"
58,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
59,내가 아니라도,주호
60,TOMBOY,(여자)아이들
61,JOY,NCT DREAM
62,Beatbox,NCT DREAM
63,그라데이션,10CM
64,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
65,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈"
66,취중고백,김민석 (멜로망스)
67,FEARLESS,LE SSERAFIM (르세라핌)
68,나의 X에게,경서
69,Dynamite,방탄소년단
70,다정히 내 이름을 부르면,"경서예지, 전건호"
71,떠나보낼 준비해 둘걸 그랬어,임한별
72,ELEVEN,IVE (아이브)
73,보고싶었어,WSG워너비(4FIRE)
74,Make It To Christmas,Alessia Cara
75,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
76,That's Hilarious,Charlie Puth
77,봄날,방탄소년단
78,WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J'Kyun), 잠비노 (Jambino), XINSAYNE"
79,Butter,방탄소년단
80,으리으리 (Feat. 호미들),NSW yoon
81,흩어지지 않게,엠씨더맥스 (M.C the MAX)
82,그중에 그대를 만나,김호중
83,눈이 오잖아(Feat.헤이즈),이무진
84,첫사랑,백아
85,LOVE me,BE'O (비오)
86,I Don't Think That I Like Her,Charlie Puth
87,들꽃놀이 (with 조유진),RM
88,"Flick (Feat. BE'O (비오), 김하온 (HAON)) (Prod. GroovyRoom)",노윤하
89,Yet To Come,방탄소년단
90,내 기쁨은 너가 벤틀리를 끄는 거야,김승민
91,밤하늘의 별을(2020),경서
92,새벽에 걸려온 너의 전화는,한동근
93,주저하는 연인들을 위해,잔나비
94,Permission to Dance,방탄소년단
95,나의 목소리로,김호중
96,That That (prod. & feat. SUGA of BTS),싸이 (PSY)
97,STAY,"The Kid LAROI, Justin Bieber"
98,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
99,Love story,볼빨간사춘기
100,The Astronaut,진
